VIN,BELGIQUE,NEDERLAND,RFA,ITALIE,UK,SUISSE,USA,CANADA
CHMPAGNE,7069,3786,12578,8037,13556,9664,10386,206
MOUSSEAU_AOC,2436,586,2006,30,1217,471,997,51
MOUSSEAU_SIMPLE,3066,290,10439,1413,7214,112,3788,330
ALSACE,2422,1999,17183,57,1127,600,408,241
GIRONDE,22986,22183,21023,56,30025,6544,13114,3447
BOJOLAIS,17465,19840,72977,2364,39919,17327,17487,2346
BORDEAUX,3784,2339,4828,98,7885,3191,11791,1188
RHON,7950,10537,7552,24,8172,11691,1369,1798
ANJOU,2587,600,2101,0,7582,143,872,131
AOC_AUTRES,17200,22806,15979,50,20004,1279,4016,944
VDQS,1976,1029,1346,0,2258,212,1017,487
AUTRE_VDQS,38747,19151,191140,7992,101108,1029,26192,38503
PROVENCE,1375,1150,2514,0,284,401,9,236
MUSCAT,2016,2908,1529,0,12891,18,716,653
RHONE,785,1648,1009,6,775,643,542,35
AOC_FORT,160,246,135,8,1177,26,7,0
AUTRE_FORT,24,1533,160,0,480,0,0,0
TRES_FORT,2415,74,208,8,1705,12,36,47
